Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 5,RFA_23,GW Chi Square - GW Squared Gini,19.572326886965786,29,0.0,19.567147919882018,29,0.0,2.9708730966706973,0.00295647540308,29
KDD98 Multiclass 5,CRAFTS,GW Chi Square - GW Squared Gini,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RFA_16,GW Chi Square - GW Squared Gini,3.4155214626041817,29,0.000950975138867,3.424306586074441,29,0.000929415206158,0.0,100.0,29
KDD98 Multiclass 5,VETERANS,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 5,WALKER,GW Chi Square - GW Squared Gini,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 5,RFA_9,GW Chi Square - GW Squared Gini,1.784931129871588,29,0.0423687556626,1.7827142231801791,29,0.0425526990875,0.0,100.0,29
KDD98 Multiclass 5,RFA_22,GW Chi Square - GW Squared Gini,4.180923782376995,29,0.000122139054438,4.183088421324419,29,0.000121417539486,0.0,100.0,29
KDD98 Multiclass 5,RFA_18,GW Chi Square - GW Squared Gini,3.8152349231587204,29,0.000329565765881,3.8202661476660595,29,0.000325137640441,0.0,100.0,29
KDD98 Multiclass 5,CATLG,GW Chi Square - GW Squared Gini,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,STEREO,GW Chi Square - GW Squared Gini,0.0,5,100.0,0.0,5,100.0,0.0,100.0,5
KDD98 Multiclass 5,RFA_11,GW Chi Square - GW Squared Gini,1.5759624028895927,29,0.0629410515625,1.5777081173146323,29,0.0627400205501,0.0,100.0,29
KDD98 Multiclass 5,PCOWNERS,GW Chi Square - GW Squared Gini,0.0,18,100.0,0.0,18,100.0,0.0,100.0,18
KDD98 Multiclass 5,GEOCODE2,GW Chi Square - GW Squared Gini,1.913020818137371,16,0.0369069918662,1.913020818137371,16,0.0369069918662,1.0,0.166097492326,16
KDD98 Multiclass 5,RFA_17,GW Chi Square - GW Squared Gini,6.827480829740863,29,8.4657613364e-08,6.822347830022879,29,8.58256467007e-08,0.0,100.0,29
KDD98 Multiclass 5,RFA_14,GW Chi Square - GW Squared Gini,1.4260880899056803,29,0.0822599075088,1.4251692014769841,29,0.0823914801556,0.0,100.0,29
KDD98 Multiclass 5,RFA_10,GW Chi Square - GW Squared Gini,-0.01925361967253004,29,0.507614677607,-0.021328575006547265,29,0.508435186085,0.0,100.0,29
KDD98 Multiclass 5,HOMEOWNR,GW Chi Square - GW Squared Gini,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 5,AGEFLAG,GW Chi Square - GW Squared Gini,1.0247832194388518,10,0.164808086309,1.0247832194388518,10,0.164808086309,0.0,100.0,10
KDD98 Multiclass 5,RFA_20,GW Chi Square - GW Squared Gini,14.401146270131541,29,4.77395900589e-15,14.504227145708986,29,3.99680288865e-15,1.0,0.162790994008,29
KDD98 Multiclass 5,RFA_6,GW Chi Square - GW Squared Gini,0.9769774804281143,29,0.168330151331,0.9782902342533133,29,0.168010914286,0.0,100.0,29
KDD98 Multiclass 5,RFA_7,GW Chi Square - GW Squared Gini,-1.0930902509980904,29,0.858324242631,-1.0889721317591354,29,0.857433373647,0.0,100.0,29
KDD98 Multiclass 5,RFA_2A,GW Chi Square - GW Squared Gini,2.619502585388606,29,0.00693135831551,2.619502585388606,29,0.00693135831551,0.0,100.0,29
KDD98 Multiclass 5,RFA_5,GW Chi Square - GW Squared Gini,0.4517751490139253,29,0.327395925212,0.4534180672043989,29,0.326811230099,0.0,100.0,29
KDD98 Multiclass 5,RFA_8,GW Chi Square - GW Squared Gini,0.8557387513917158,29,0.199578860409,0.8511632554329103,29,0.200826262877,0.0,100.0,29
KDD98 Multiclass 5,RFA_13,GW Chi Square - GW Squared Gini,5.358917829624239,29,4.6784140173e-06,5.359822543060025,29,4.66668040688e-06,0.0,100.0,29
KDD98 Multiclass 5,COLLECT1,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 5,RFA_2,GW Chi Square - GW Squared Gini,1.5042150262070972,29,0.0716700113197,1.5042150262070972,29,0.0716700113197,0.0,100.0,29
KDD98 Multiclass 5,STATE,GW Chi Square - GW Squared Gini,-1.2716447971716731,10,0.883861135697,-1.271696787468815,10,0.88387000615,0.0,100.0,10
KDD98 Multiclass 5,RFA_4,GW Chi Square - GW Squared Gini,4.558575272650979,29,4.31758451493e-05,4.564934192625898,29,4.24227860856e-05,0.0,100.0,29
KDD98 Multiclass 5,PEPSTRFL,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
